ELO,TEAM,CONF
1770,Warriors,West
1661,Spurs,West
1636,Clippers,West
1617,Jazz,West
1602,Rockets,West
1600,Raptors,East
1587,Celtics,East
1587,Wizards,East
1569,Heat,East
1563,Trail Blazers,West
1552,Nuggets,West
1545,Cavaliers,East
1543,Thunder,West
1526,Pacers,East
1519,Bulls,East
1502,Bucks,East
1482,Grizzlies,West
1482,Pelicans,West
1479,Hawks,East
1463,Hornets,East
1463,Timberwolves,West
1441,Pistons,East
1420,Mavericks,West
1393,Kings,West
1374,Knicks,East
1372,Nets,East
1367,Lakers,West
1352,Magic,East
1340,Suns,West
1338,76ers,East
