NAME,POSITION,TEAM,SALARY
LeBron James, SF,Cleveland Cavaliers,"$30,963,450.00 "
Mike Conley, PG,Memphis Grizzlies,"$26,540,100.00 "
Al Horford, C,Boston Celtics,"$26,540,100.00 "
Dirk Nowitzki, PF,Dallas Mavericks,"$25,000,000.00 "
Carmelo Anthony, SF,New York Knicks,"$24,559,380.00 "
Damian Lillard, PG,Portland Trail Blazers,"$24,328,425.00 "
Chris Bosh, PF,Miami Heat,"$23,741,060.00 "
Dwyane Wade, SG,Chicago Bulls,"$23,200,000.00 "
Dwight Howard, C,Atlanta Hawks,"$23,180,275.00 "
Chris Paul, PG,LA Clippers,"$22,868,827.00 "
Chandler Parsons, SF,Memphis Grizzlies,"$22,116,750.00 "
Bradley Beal, SG,Washington Wizards,"$22,116,750.00 "
Anthony Davis, PF,New Orleans Pelicans,"$22,116,750.00 "
Derrick Rose, PG,New York Knicks,"$21,323,252.00 "
Marc Gasol, C,Memphis Grizzlies,"$21,165,675.00 "
Brook Lopez, C,Brooklyn Nets,"$21,165,675.00 "
Kevin Love, PF,Cleveland Cavaliers,"$21,165,675.00 "
Nicolas Batum, SG,Charlotte Hornets,"$20,869,566.00 "
LaMarcus Aldridge, PF,San Antonio Spurs,"$20,575,005.00 "
Blake Griffin, PF,LA Clippers,"$20,140,839.00 "
Paul Millsap, PF,Atlanta Hawks,"$20,072,033.00 "
Ryan Anderson, PF,Houston Rockets,"$18,735,364.00 "
Allen Crabbe, SG,Portland Trail Blazers,"$18,500,000.00 "
Paul George, SF,Indiana Pacers,"$18,314,532.00 "
Luol Deng, SF,Los Angeles Lakers,"$18,000,000.00 "
Kawhi Leonard, SF,San Antonio Spurs,"$17,638,063.00 "
Kyrie Irving, PG,Cleveland Cavaliers,"$17,638,063.00 "
Jimmy Butler, SG,Chicago Bulls,"$17,552,209.00 "
Tobias Harris, SF,Detroit Pistons,"$17,200,000.00 "
Enes Kanter, C,Oklahoma City Thunder,"$17,145,838.00 "
Greg Monroe, C,Milwaukee Bucks,"$17,145,838.00 "
Wesley Matthews, SG,Dallas Mavericks,"$17,145,838.00 "
Bismack Biyombo, C,Orlando Magic,"$17,000,000.00 "
Evan Fournier, SG,Orlando Magic,"$17,000,000.00 "
Joakim Noah, C,New York Knicks,"$17,000,000.00 "
John Wall, PG,Washington Wizards,"$16,957,900.00 "
DeMarcus Cousins, C,Sacramento Kings,"$16,957,900.00 "
Klay Thompson, SG,Golden State Warriors,"$16,663,575.00 "
Evan Turner, SG,Portland Trail Blazers,"$16,393,443.00 "
Gordon Hayward, SF,Utah Jazz,"$16,073,140.00 "
Timofey Mozgov, C,Los Angeles Lakers,"$16,000,000.00 "
Ian Mahinmi, C,Washington Wizards,"$15,944,154.00 "
Goran Dragic, PG,Miami Heat,"$15,891,725.00 "
Kent Bazemore, SF,Atlanta Hawks,"$15,730,338.00 "
Pau Gasol, C,San Antonio Spurs,"$15,500,000.00 "
Draymond Green, PF,Golden State Warriors,"$15,330,435.00 "
Tristan Thompson, C,Cleveland Cavaliers,"$15,330,435.00 "
Khris Middleton, SG,Milwaukee Bucks,"$15,200,000.00 "
Danilo Gallinari, SF,Denver Nuggets,"$15,050,000.00 "
Jeff Green, SF,Orlando Magic,"$15,000,000.00 "
Reggie Jackson, PG,Detroit Pistons,"$14,956,522.00 "
Tony Parker, PG,San Antonio Spurs,"$14,445,313.00 "
Jonas Valanciunas, C,Toronto Raptors,"$14,382,023.00 "
DeMarre Carroll, SF,Toronto Raptors,"$14,200,000.00 "
Thaddeus Young, PF,Indiana Pacers,"$14,153,652.00 "
Manu Ginobili, SG,San Antonio Spurs,"$14,000,000.00 "
Eric Bledsoe, PG,Phoenix Suns,"$14,000,000.00 "
Rajon Rondo, PG,Chicago Bulls,"$14,000,000.00 "
Ricky Rubio, PG,Minnesota Timberwolves,"$13,550,000.00 "
Rudy Gay, SF,Sacramento Kings,"$13,333,333.00 "
