Team,Value_Millions
New York Knicks,"3,300"
Los Angeles Lakers,"3,000"
Golden State Warriors,"2,600"
Chicago Bulls,"2,500"
Boston Celtics,"2,200"
Los Angeles Clippers,"2,000"
Brooklyn Nets,"1,800"
Houston Rockets,"1,650"
Dallas Mavericks,"1,450"
Miami Heat,"1,350"
Cleveland Cavaliers,"1,200"
San Antonio Spurs,"1,175"
Toronto Raptors,"1,125"
Phoenix Suns,"1,100"
Sacramento Kings,"1,075"
Portland Trail Blazers,"1,050"
Oklahoma City Thunder,"1,025"
Washington Wizards,"1,000"
Orlando Magic,920
Utah Jazz,910
Detroit Pistons,900
Denver Nuggets,890
Atlanta Hawks,885
Indiana Pacers,880
Philadelphia 76ers,800
Memphis Grizzlies,790
Milwaukee Bucks,785
Charlotte Hornets,780
Minnesota Timberwolves,770
New Orleans Pelicans,750
